epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
124,16212.4,0.24023,0.90754,1,0.33768,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,16390.5,0.24312,0.92457,1,0.26515,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,16539.7,0.25567,0.92457,1,0.2418,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,16679.8,0.2339,0.91971,1,0.24229,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,16816.7,0.24428,0.92214,1,0.2653,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,16955.4,0.24665,0.90754,1,0.28918,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,17093.9,0.24821,0.90511,1,0.27833,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,17240.5,0.24896,0.90998,1,0.25242,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,17373.5,0.23946,0.90998,1,0.26028,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
133,17505.1,0.23381,0.90754,1,0.26043,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
134,17651.3,0.23057,0.90754,1,0.26282,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165
135,17784.2,0.23403,0.91727,1,0.27775,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
136,17926.8,0.2261,0.91727,1,0.28467,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
137,18063.1,0.23173,0.91484,1,0.27117,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
138,18192.7,0.2276,0.91484,1,0.26389,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185
139,18318.9,0.23718,0.91727,1,0.28336,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
140,18447.3,0.21782,0.91484,1,0.28109,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195
141,18571.7,0.23083,0.91241,1,0.28464,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
142,18697,0.22335,0.91241,1,0.28552,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205
